id,latex,language,pronunciation
10481,"\bigcup_{j = 1}^M K_{\infty,j} = \lim_{N\to\infty}K_N = [0,1].",eng,The union over j from one to M of K subscript infinity j equals the limit as N tends to infinity of K subscript N equals closed interval zero to one.
10484, \left[ - \frac{1}{2 (2 \pi)^2} \Delta_L f \right]^\wedge(p) = \nu (p) \hat{f}(p) .,eng,left bracket minus one over two times open parenthesis two pi close parenthesis squared close parenthesis capital delta subscript L f right bracket hat of p equals nu of p hat f of p
10485, \left[ - \frac{1}{2 (2 \pi)^2} \Delta_L f \right]^\wedge(p) = \nu (p) \hat{f}(p) .,eng,left bracket negative one divided by two times open parenthesis two pi close parenthesis squared times capital delta with subscript L of little f right bracket hat of p is equal to nu of p times hat of f of p
10488,"\mu(q)=(aq+b)(cq+d)^{-1},\qquad\mbox{with}\Delta=|a|^2|d|^2+|b|^2|c|^2-2\Re[a\bar cd\bar b]\neq 0",eng,"mu of q is equal to open parenthesis, a times q plus b, close parenthesis, times open parenthesis, c times q plus d, close parenthesis to the negative one, with delta not equal to zero, where delta equals the absolute value of a squared times the absolute value of d squared, plus the absolute value of b squared times the absolute value of c squared, minus two times the real part of a times the complex conjugate of c, times d, times the complex conjugate of b."
10489,"\mu(q)=(aq+b)(cq+d)^{-1},\qquad\mbox{with}\Delta=|a|^2|d|^2+|b|^2|c|^2-2\Re[a\bar cd\bar b]\neq 0",eng,"mu q equals open parenthesis a q plus b close parenthesis times open parenthesis c q plus d close parenthesis raised to the power of negative one, with delta not equal to zero. Here, delta is absolute value of a squared times absolute value of d squared, plus absolute value of b squared times absolute value of c squared, subtracting two times the real part of a times c conjugate times d times b conjugate."
10492," \beta(t,z)=\delta(t,z)\beta_0(t,z).",eng,beta of t and z equals delta of t and z times beta naught of t and z.
10493," \beta(t,z)=\delta(t,z)\beta_0(t,z).",eng,beta t z equals delta t z beta zero t z.
10496,T_k^\prime = D_k (I - {\it \Gamma} D_k)^{-1} \ .,eng,T k prime equals D k times the inverse of open parenthesis I minus Gamma D k close parenthesis period
10497,T_k^\prime = D_k (I - {\it \Gamma} D_k)^{-1} \ .,eng,"T sub k prime is equal to D sub k times the inverse of the expression in parentheses, I minus Gamma times D sub k period"
10500,"\psi_{E}(x)=\frac{1}{2\pi }\int_{-\infty }^{+\infty}dX\,e^{iF(x,X)}\,e^{iEX}=Ai(x-E)\;.",eng,Psi sub E of x equals one over two pi times the integral from negative infinity to positive infinity of dX times e to the power of i F of x comma X times e to the power of i E X equals Airy function of x minus E.
10501,"\psi_{E}(x)=\frac{1}{2\pi }\int_{-\infty }^{+\infty}dX\,e^{iF(x,X)}\,e^{iEX}=Ai(x-E)\;.",eng,Psi E of x equals one divided by two pi integral from minus infinity to plus infinity dX multiplied by exponential i F of x and X times exponential i E X equals Airy of x subtract E.
10504,"\eta = \int^{X^0} \frac{d X^0}{R(X^0)}~,",eng,Eta equals the integral from zero to X naught of the differential of X naught over R of X naught.
10505,"\eta = \int^{X^0} \frac{d X^0}{R(X^0)}~,",eng,Eta is the integral from X naught to zero of DX naught divided by the function R of X naught.
10508,\left( z_{xx}-z_{yy}\right) ^{2}+4\left( z_{xy}\right) ^{2}=0. ,eng,Parenthesis z sub x x minus z sub y y end parenthesis squared plus four times parenthesis z sub x y end parenthesis squared equals zero.
10509,\left( z_{xx}-z_{yy}\right) ^{2}+4\left( z_{xy}\right) ^{2}=0. ,eng,Left bracket z sub x x minus z sub y y close bracket to the power of two plus four times z sub x y close bracket to the power of two equals zero.
10512,|\theta(q(t_\omega))|<1=\widehat \omega(q(t_\omega)),eng,Absolute value of theta of q at t omega is less than one is equal to omega hat of q at t omega
10513,|\theta(q(t_\omega))|<1=\widehat \omega(q(t_\omega)),eng,The magnitude of theta evaluated at q of t sub omega is smaller than one equals omega hat of q evaluated at t sub omega
10516,"\eta (\tau )=q^{1/24}\prod_{n=1}^{\infty }(1-q^{n}), ",eng,eta of tau equals q to the power of 1 over 24 times the product from n equals 1 to infinity of 1 minus q to the power of n
10517,"\eta (\tau )=q^{1/24}\prod_{n=1}^{\infty }(1-q^{n}), ",eng,eta tau equals q raised to the one twenty fourth multiplied by the infinite product from n equals one of one minus q to the n
10520,F_{x}=\bigcup_{s}(\bar{S}^{s}_{x} \times\bar{V}^{s}_{x})\times\textbf{R}^{n}_{x}.,eng,Eff sub ex is the union over s of the bar ess superscript s sub ex times the bar vee superscript s sub ex times bold are superscript en sub ex.
10521,F_{x}=\bigcup_{s}(\bar{S}^{s}_{x} \times\bar{V}^{s}_{x})\times\textbf{R}^{n}_{x}.,eng,"Eff sub ex equals the union over s of bar ess to the power of s and sub ex multiplied by bar vee to the power of s and sub ex, all multiplied by bold are to the power of en and sub ex."
10524,r^2 = \frac{\rho(A)}{4\pi^2(1+\epsilon)}.,eng,r squared equals rho of A over 4 pi squared times one plus epsilon.
10525,r^2 = \frac{\rho(A)}{4\pi^2(1+\epsilon)}.,eng,r two equals rho A divided by four pi square times one add epsilon.
10528,"e^{S_{I_{k;q}}}\,V^{(k,q-1)}_{I_{l;i}}\,e^{-S_{I_{k;q}}}=V^{(k,q-1)}_{I_{l;i}}\,,",eng,e to the power of S sub I sub k semicolon q multiplied by V raised to the power of open parenthesis k comma q minus one close parenthesis sub I sub l semicolon i times e to the negative S sub I sub k semicolon q equals V raised to open parenthesis k comma q minus one close parenthesis sub I sub l semicolon i comma
10529,"e^{S_{I_{k;q}}}\,V^{(k,q-1)}_{I_{l;i}}\,e^{-S_{I_{k;q}}}=V^{(k,q-1)}_{I_{l;i}}\,,",eng,"e raised to the S of k and q, with V to the power of k, q minus one, indexed by I l and i, with the inverse exponentiation of minus S sub I k q equals V to k, q minus one indexed by I l, i."
10532,\Phi|_{(J+Au)}=0.,eng,Phi evaluates at open bracket J plus A u close bracket equals zero.
10533,\Phi|_{(J+Au)}=0.,eng,Phi at J plus A u equals zero.
10536,"W_{0}^{(q, r)} (x ) = W^{(q+r)}(x), Z_{0}^{(q, r)} (x ) = Z^{(q+r)}(x).",eng,W sub zero superscript parentheses q comma r close parentheses of x equals W superscript parentheses q plus r close parentheses of x. Z sub zero superscript parentheses q comma r close parentheses of x equals Z superscript parentheses q plus r close parentheses of x.
10537,"W_{0}^{(q, r)} (x ) = W^{(q+r)}(x), Z_{0}^{(q, r)} (x ) = Z^{(q+r)}(x).",eng,W sub zero q r of x is the same as W q plus r of x. Z sub zero q r of x is equivalent to Z q plus r of x.
10540,"Q_{\sigma ,\Omega}^N[u]=\frac {C_\sigma }{2\sigma }\cdot {\cal E}_\sigma ^N(w_\sigma ^N).",eng,Q sub sigma comma Omega to the power of N of u equals C sub sigma over 2 sigma times script E sub sigma to the power of N of w sub sigma to the power of N.
10541,"Q_{\sigma ,\Omega}^N[u]=\frac {C_\sigma }{2\sigma }\cdot {\cal E}_\sigma ^N(w_\sigma ^N).",eng,Q sigma Omega N of u is equal to C sigma divided by two sigma multiplied by calligraphic E sigma N of w sigma N.
10544,\underset{n\rightarrow+\infty}{\lim}\|u_n\|^{2}_{E_\lambda}=\frac{2pc}{p-1}.,eng,The limit as n approaches positive infinity of the norm of u sub n squared in E sub lambda equals two p c over p minus one.
10545,\underset{n\rightarrow+\infty}{\lim}\|u_n\|^{2}_{E_\lambda}=\frac{2pc}{p-1}.,eng,Limit of n tending to plus infinity of the squared norm of u sub n in E sub lambda equals two p c divided by p minus one.
10548,"(z, x+a_j y)=(z,x^\prime +(A+a_j)y)=(z^\prime-m,x^\prime+(A+a_j)y)",eng,"zee, ex plus a sub j wye equals zee, ex prime plus open parenthesis A plus a sub j close parenthesis wye equals zee prime minus em, ex prime plus open parenthesis A plus a sub j close parenthesis wye"
10549,"(z, x+a_j y)=(z,x^\prime +(A+a_j)y)=(z^\prime-m,x^\prime+(A+a_j)y)",eng,"z, x plus aj y equals z, x prime plus A plus aj times y equals z prime minus m, x prime plus A plus aj times y"
10552,"\omega = m+\sqrt {(2n_2+3)eB+m^2}=\epsilon_{n_2}^{+}, n_2=0,1,2,... .",eng,omega equals m plus the square root of open parenthesis two times n sub two plus three close parenthesis times e B plus m squared equals epsilon sub n two superscript plus comma n two equals zero comma one comma two comma and so on
10553,"\omega = m+\sqrt {(2n_2+3)eB+m^2}=\epsilon_{n_2}^{+}, n_2=0,1,2,... .",eng,omega is m plus the root of open bracket two n sub two plus three close bracket e B plus m squared equals epsilon sub n two plus where n sub two equals zero comma one comma two dot dot dot.
10556,"X_{1}=\partial_t,X_{2}=\partial_x,X_{3}=x\partial_x-2w\,\partial_w.",eng,"X sub one equals partial with respect to t, X sub two equals partial with respect to x, X sub three equals x times partial with respect to x minus two w times partial with respect to w."
10557,"X_{1}=\partial_t,X_{2}=\partial_x,X_{3}=x\partial_x-2w\,\partial_w.",eng,"X index one equals the derivative with respect to time, X index two equals the derivative with respect to the spatial coordinate x, X index three equals x times the derivative with respect to x minus two w times the derivative with respect to w."
10560,G^2(\langle R(z) \rangle^2 - I(z)\langle R(z) \rangle )=0,eng,Capital G squared of the quantity open angle bracket cap R of z close angle bracket squared minus cap I of z times open angle bracket cap R of z close angle bracket equals zero
10561,G^2(\langle R(z) \rangle^2 - I(z)\langle R(z) \rangle )=0,eng,G squared times the difference of left angle bracket R of z right angle bracket squared and I of z times left angle bracket R of z right angle bracket equals zero
10564, X_{w_J} \cong \prod_{k=1}^{m} Fl_{n_k} .,eng,X sub w sub J is congruent to the product from k equals one to m of F L sub n sub k
10565, X_{w_J} \cong \prod_{k=1}^{m} Fl_{n_k} .,eng,X w J is equivalent to the multiplication from k equal to one to m of Fl at n sub k
10568,"\varphi(0,0)=z_1,\varphi(1,0)=z_2,\varphi(1,1)=z_3\varphi(0,1)=z_4,",eng,"phi of zero comma zero equals z one, phi of one comma zero equals z two, phi of one comma one equals z three, phi of zero comma one equals z four"
10569,"\varphi(0,0)=z_1,\varphi(1,0)=z_2,\varphi(1,1)=z_3\varphi(0,1)=z_4,",eng,"phi at zero zero is z sub one, phi at one zero equals z sub two, phi at one one equals z sub three, and phi at zero one equals z sub four"
10572,"U\in L^q(\mathbb{R}^N),\mbox{ for every } q>q_0:=\frac{(p-1)\,N}{N-s\,p}.",eng,"You in L q of R N, for every q greater than q zero equals the fraction of parentheses p minus one parentheses N, divided by N minus s p."
10573,"U\in L^q(\mathbb{R}^N),\mbox{ for every } q>q_0:=\frac{(p-1)\,N}{N-s\,p}.",eng,"U in L to the power of q of real numbers R N, for each q greater than q naught defined as the quotient of parenthesis p minus one parenthesis multiplied by N over N minus s times p."
10576,"\Theta(\lambda,r,t)=\frac{\lambda^2+r^2-t^2}{2r\lambda}.",eng,"Theta of lambda, r, t equals the fraction of lambda squared plus r squared minus t squared over two times r times lambda."
10577,"\Theta(\lambda,r,t)=\frac{\lambda^2+r^2-t^2}{2r\lambda}.",eng,"Theta with respect to lambda, r, and t is given by the expression lambda squared plus r squared minus t squared divided by two r lambda."
10580,"Y_{22}(a_1,t) = \frac{2 e^t}{(e^{2t}+1) - (e^{2t} -1)\cos(a_1)}.",eng,"Y sub twenty-two of a sub one, t equals the fraction of two e to the t divided by e to the two t plus one minus e to the two t minus one times cosine of a sub one."
10581,"Y_{22}(a_1,t) = \frac{2 e^t}{(e^{2t}+1) - (e^{2t} -1)\cos(a_1)}.",eng,"Y twenty-two a one, t is the ratio of two times e to the power of t over the entire expression e to the power of two t plus one, subtracting e to the power of two t minus one times the cosine of a one."
10584,\phi^i{}_\alpha=\delta^i_\alpha ,eng,Phi superscript i subscript alpha equals delta superscript i subscript alpha.
10585,\phi^i{}_\alpha=\delta^i_\alpha ,eng,"Phi to the power of i, under alpha, is equal to delta to the power of i, under alpha."
10588,\widetilde\varphi (x)~=~ \varphi(x)~+~ \delta\varphi(x) ,eng,Tilde phi of x equals phi of x plus delta phi of x
10589,\widetilde\varphi (x)~=~ \varphi(x)~+~ \delta\varphi(x) ,eng,Modified phi of x is the sum of phi of x and the variation delta phi of x
10592,"{\cal L}_\eta=\eta\hat{\partial}+\frac{1}{2}\hat{\partial}^A\eta^BM^{AB}+\frac{1}{2}M^{zB}\eta^B\,.",eng,1. L sub eta equals eta hat partial plus one-half hat partial to the A eta to the B M raised A B plus one-half M to the z B eta to the B.
10593,"{\cal L}_\eta=\eta\hat{\partial}+\frac{1}{2}\hat{\partial}^A\eta^BM^{AB}+\frac{1}{2}M^{zB}\eta^B\,.",eng,"2. Calligraphic L subscript eta equals eta hat derivative plus half hat derivative superscript A, eta superscript B, M superscript A B, plus half M superscript z B, eta superscript B."
10596," \mathcal{V}(M) = \int_{M\times [0,t]} \*r^*(dV)",eng,V of M equals the integral over M times the interval from zero to t of r star dV
10597," \mathcal{V}(M) = \int_{M\times [0,t]} \*r^*(dV)",eng,V of M equals the integral over M cross the interval zero to t of r star dV
10600,"\bigcup_{m\ge m_{0}}\,\bigcup_{j=0}^{j_{m+1}-j_{m}-1} A_{m,j}.",eng,"""The union over all m greater than or equal to m zero, then the union from j equals zero to j subscript m plus one minus j subscript m minus one, of A sub m comma j."""
10601,"\bigcup_{m\ge m_{0}}\,\bigcup_{j=0}^{j_{m+1}-j_{m}-1} A_{m,j}.",eng,"""Union of sets A m j over all m starting from m naught, for j range starting from zero up to j subscript m plus one minus j subscript m minus one."""
10604," u=\rho_1 e^{i\psi_1}\,, v=\rho_2 e^{i\psi}\,, ",eng,"you equals rho one e to the power of i psi one, vee equals rho two e to the power of i psi."
10605," u=\rho_1 e^{i\psi_1}\,, v=\rho_2 e^{i\psi}\,, ",eng,"you is rho one times e raised to the i times psi one, and vee is rho two times e to the i psi."
10608,"\hat j_n(r) = r^n \big[1 + O(1/n) \big] \hat y_n(r) = r^{-n-1} \big[1 + O(1/n) \big], ",eng,"hat j sub n of r equals r to the power of n, times, open bracket, one plus big O of one over n, close bracket, hat y sub n of r equals r to the power of negative n minus one, times, open bracket, one plus big O of one over n, close bracket."
10609,"\hat j_n(r) = r^n \big[1 + O(1/n) \big] \hat y_n(r) = r^{-n-1} \big[1 + O(1/n) \big], ",eng,"hat j sub n r equals r raised to the power of n, multiplied by, opening brackets, one plus Big O of one divided by n, closing brackets, hat y sub n r equals r raised to the power of minus n minus one, multiplied by, opening brackets, one plus Big O of one divided by n, closing brackets."
10612,P(-t\log |dT_a|)=\sup_{\mu}\left\{h_\mu(T_a)-t\int\log |dT_a|d\mu\right\}.,eng,P of negative t log absolute value of d T sub a equals supremum over mu of the set h sub mu of T sub a minus t integral log absolute value of d T sub a d mu.
10613,P(-t\log |dT_a|)=\sup_{\mu}\left\{h_\mu(T_a)-t\int\log |dT_a|d\mu\right\}.,eng,"P in brackets negative t times the logarithm of the absolute value of differential T a, equals supremum over mu, of h mu of T a, minus t times the integral of the logarithm of the absolute value of d T a with respect to mu."
10616,"R_n(x_1,\ldots x_n)=\sum_{P_2^0}T_{n-n_1}(Y,x_n)\tilde T_{n_1}(X)=",eng,"R sub n of x one to x n equals sum over P two zero of T sub n minus n 1 of Y, x sub n, times tilde T sub n 1 of X."
10617,"R_n(x_1,\ldots x_n)=\sum_{P_2^0}T_{n-n_1}(Y,x_n)\tilde T_{n_1}(X)=",eng,"R sub n x one through x n equals summation over P two zero of T sub n minus n one Y, x sub n, times tilde T sub n one X."
10620,\mu (t) = \mu_0 - \left(1-\left[1+(T-t)\right]^{-(d-1)}\right),eng,Mu of t equals mu naught minus open parenthesis one minus open bracket one plus T minus t close bracket raised to the power of negative d minus one close parenthesis.
10621,\mu (t) = \mu_0 - \left(1-\left[1+(T-t)\right]^{-(d-1)}\right),eng,Mu of t equals mu zero subtract the difference of one and the quantity one plus T minus t raised to the power of negative d minus one.
10624,E_{k+1}=E_{k}+\Vert \partial_x^k \rho_0\Vert_{L^2}+\Vert \partial_x^ku_0\Vert_{L^2}.,eng,E sub k plus one equals E sub k plus the norm of partial x to the k of rho naught in L two plus the norm of partial x to the k of u naught in L two.
10625,E_{k+1}=E_{k}+\Vert \partial_x^k \rho_0\Vert_{L^2}+\Vert \partial_x^ku_0\Vert_{L^2}.,eng,E at k plus one is equal to E at k plus the L two norm of partial x raised to the k applied to rho zero plus the L two norm of partial x raised to the k applied to u zero.
10628,d\overline{F}^{(k)} \approx 0.,eng,dee bar f superscript k approximately zero
10629,d\overline{F}^{(k)} \approx 0.,eng,dee overline capital f to the power of k approximately zero
10632,V_s'^2=-2\sum_{i=0}^{n-1}a_i^2+2\sum_{i=0}^{n-1}a_ia_{i+1}=-\sum_{i=0}^{n-1}(a_i-a_{i+1})^2.,eng,V sub s prime squared equals negative two times the sum from i equals zero to n minus one of a sub i squared plus two times the sum from i equals zero to n minus one of a sub i times a sub i plus one equals negative the sum from i equals zero to n minus one of the square of the quantity a sub i minus a sub i plus one.
10633,V_s'^2=-2\sum_{i=0}^{n-1}a_i^2+2\sum_{i=0}^{n-1}a_ia_{i+1}=-\sum_{i=0}^{n-1}(a_i-a_{i+1})^2.,eng,V s prime squared equals negative two sum with index i from zero to n minus one of the square of a i plus two times the sum with index i from zero to n minus one of a i times a sub i plus one equals negative sum with index i from zero to n minus one of the square of the difference of a i and a sub i plus one.
10636,h^t_l - \frac{k}{8(k+2)} = \frac{1}{4(k+2)}\left(l+1-\frac{k+2}{2}\right)^2 \geq 0 ~.,eng,h t sub l minus k divided by eight times k plus two equals one divided by four times k plus two quantity l plus one minus quantity k plus two divided by two squared greater than or equal to zero.
10637,h^t_l - \frac{k}{8(k+2)} = \frac{1}{4(k+2)}\left(l+1-\frac{k+2}{2}\right)^2 \geq 0 ~.,eng,h to the power of t subscript l minus the fraction of k over eight times the quantity k plus two is equal to the fraction of one over four times the quantity k plus two times the squared term of l plus one minus k plus two over two such that it is greater than or equal to zero.
10640,(g-1)\left(\frac{c_x}{\pi_1}-\frac{a^2}{2}\right)= -\kappa(x)(g).,eng,G minus one times the quantity of C sub X over pi sub one minus A squared over two equals negative kappa of X times G.
10641,(g-1)\left(\frac{c_x}{\pi_1}-\frac{a^2}{2}\right)= -\kappa(x)(g).,eng,The expression G minus one multiplied by the fraction of C subscript X over pi subscript one minus A squared divided by two is equal to negative kappa of X multiplied by G.
10644,\displaystyle L= (\oplus_{i=1}^m\mathfrak{g}_i)\ltimes (\oplus_{k=1}^n I_k),eng,L equals a direct sum from i equals one to m of G sub i semidirect product with a direct sum from k equals one to n of I sub k
10645,\displaystyle L= (\oplus_{i=1}^m\mathfrak{g}_i)\ltimes (\oplus_{k=1}^n I_k),eng,L is the direct sum of G sub i from i equals one to m semi-directly multiplied by the direct sum from k equals one to n of I sub k
10648,a\oplus b = \log({\rm e}^a+{\rm e}^b) .,eng,a plus b equals log of e to the power of a plus e to the power of b
10649,a\oplus b = \log({\rm e}^a+{\rm e}^b) .,eng,a xor b equals log of exponent a plus exponent b
10652," w(y,\tau_0) = Q_{b(\tau_0)}(y) + \varepsilon(\tau_0).",eng,w of y comma tau zero equals Q subscript b of tau zero of y plus epsilon of tau zero.
10653," w(y,\tau_0) = Q_{b(\tau_0)}(y) + \varepsilon(\tau_0).",eng,w y tau zero is the same as big Q with b of tau zero of y added to epsilon of tau zero.
10656, F(z) = \frac{1+zf(z)}{1-zf(z)}.,eng,Eff of zee equals one plus zee eff of zee all over one minus zee eff of zee.
10657, F(z) = \frac{1+zf(z)}{1-zf(z)}.,eng,F z equals fraction of one plus z times f of z over one minus z times f of z.
10660,"R[\tilde{g}]=R[g]-A^{\mu\nu}A_{\mu\nu}~~~,",eng,R of g tilde equals R of g minus A superscript mu nu times A subscript mu nu.
10661,"R[\tilde{g}]=R[g]-A^{\mu\nu}A_{\mu\nu}~~~,",eng,R tilde g equals R g minus A to the power mu nu A sub mu nu.
10664," L(\frac{1}{2}, \pi \times \psi) = \alpha_{\psi} \omega_E ",eng,"1. L of one-half, pi times psi equals alpha sub psi omega E."
10665," L(\frac{1}{2}, \pi \times \psi) = \alpha_{\psi} \omega_E ",eng,"2. L at one-over-two, pi cross psi is alpha psi omega E."
10668,-y^{\prime\prime}+q(x)y+\frac{1}{4}y=0. ,eng,Negative y double prime plus q of x times y plus one fourth y equals zero.
10669,-y^{\prime\prime}+q(x)y+\frac{1}{4}y=0. ,eng,Minus y double prime plus q of x multiplied by y plus one over four y equals zero.
10672,X = d \alpha + \delta \frac{1}{\Delta} M,eng,X equals d alpha plus delta times one over delta M.
10673,X = d \alpha + \delta \frac{1}{\Delta} M,eng,X is d times alpha plus delta divided by big delta times M.
10676,"X^3+AX+B=y^2,",eng,x cubed plus a times x plus b equals y squared
10677,"X^3+AX+B=y^2,",eng,x to the third power plus a x plus b equals y to the power of two
10680,"\chi = \alpha \psi_{0} + \beta \psi_{1}+ \int dx G(s, x) f(x),",eng,kai equals alpha psi naught plus beta psi one plus the integral of gee of s and x eff of x dee x
10681,"\chi = \alpha \psi_{0} + \beta \psi_{1}+ \int dx G(s, x) f(x),",eng,chi equals alpha psi zero plus beta psi one plus the integral of g of s and x times f of x dx
10684,"\phi_{\epsilon}(x,t)=\bar{m}_{\epsilon V t}(x),\,\,\,\,\,\,V=\frac{R}{T},",eng,"phi sub epsilon of x, t equals bar m sub epsilon V t of x, where V equals R over T."
10685,"\phi_{\epsilon}(x,t)=\bar{m}_{\epsilon V t}(x),\,\,\,\,\,\,V=\frac{R}{T},",eng,"phi under epsilon of x and t is equal to m bar, subscript epsilon and V t, of x, with V being R divided by T."
10688,\Big|\frac{d\xi}{dx}\Big|=\frac{h(x)}{r^{n+1}(\xi)K(p)},eng,magnitude of dee xi over dee ex is equal to h of ex over r raised to the power of n plus one of xi times K of pee
10689,\Big|\frac{d\xi}{dx}\Big|=\frac{h(x)}{r^{n+1}(\xi)K(p)},eng,absolute value of the derivative of xi with respect to ex equals h of ex divided by r to the power of n plus one of xi times K of pee
10692,"p_2(x_0,\xi_0)=\{ p_2 ,\Psi\}(x_0, \xi_0)=0 \{p_2,\{p_2,\Psi\}\}(x_0, \xi_0) < 0 .",eng,"p sub two of x naught, xi naught equals the Poisson bracket of p sub two and Psi evaluated at x naught, xi naught equals zero, the Poisson bracket of p sub two and the Poisson bracket of p sub two and Psi evaluated at x naught, xi naught is less than zero."
10693,"p_2(x_0,\xi_0)=\{ p_2 ,\Psi\}(x_0, \xi_0)=0 \{p_2,\{p_2,\Psi\}\}(x_0, \xi_0) < 0 .",eng,"p sub 2 of x zero, xi zero is the curly bracket of p sub 2 and Psi at x zero, xi zero equals zero, the curly bracket of p sub 2 and the curly bracket of p sub 2 and Psi at x zero, xi zero is less than zero."
10696,"\langle f, HP_c g\rangle = \langle f,-\tfrac12\partial_x^2 g\rangle + B(f,g),",eng,"""Angle brackets f, H P sub c g equals angle brackets f, negative one-half partial x squared g plus B of f comma g."""
10697,"\langle f, HP_c g\rangle = \langle f,-\tfrac12\partial_x^2 g\rangle + B(f,g),",eng,"""Inner product of f with H P sub c g is equal to the inner product of f with negative one-half and the second partial derivative with respect to x of g, plus B of f and g. "" "
10700, \eta_r \!\cdot\! \eta = 1 + O(r^2) .,eng,eta sub r times eta equals one plus big O of r squared
10701, \eta_r \!\cdot\! \eta = 1 + O(r^2) .,eng,eta r multiplied by eta is equal to one plus the order of r squared
10704,S_{max}~=~ln \left( {\exp{S_{BH}} \over S_{BH}^{3/2} }\right)~. ,eng,"S max equals the natural log of open parenthesis, the exponential function of S sub BH divided by S sub BH to the power of three halves, close parenthesis."
10705,S_{max}~=~ln \left( {\exp{S_{BH}} \over S_{BH}^{3/2} }\right)~. ,eng,S sub max is approximately equal to the natural logarithm of the fraction with the numerator as e raised to the power of S sub BH and the denominator as S sub BH to the power of three halves.
10708,"\Psi=\Psi_{\alpha\beta} dx^\alpha dx^\beta,\ \mathring{\sigma}^{\alpha\beta}\Psi_{\alpha\beta}=0.",eng,"Psi equals Psi sub alpha beta d-ex superscript alpha d-ex superscript beta, circle sigma superscript alpha beta Psi sub alpha beta equals zero."
10709,"\Psi=\Psi_{\alpha\beta} dx^\alpha dx^\beta,\ \mathring{\sigma}^{\alpha\beta}\Psi_{\alpha\beta}=0.",eng,"Psi is Psi lower alpha beta dee ex upper alpha dee ex upper beta, small circle sigma upper alpha beta Psi lower alpha beta equals naught."
10712," \partial_{\bf n}\mu = 0 \qquad (0,T)\times\Gamma\,,",eng,Partial n mu equals zero comma zero to capital T times gamma comma
10713," \partial_{\bf n}\mu = 0 \qquad (0,T)\times\Gamma\,,",eng,The partial derivative of mu with respect to vector n is zero on the interval zero to T times gamma
10716,"[g^{t_{r,a}}, a]=[g, a^{t_{r,a}}] = [\bar{g}, r\bar{a}] = [r\bar{g}, \bar{a}] = [ g_r, a].",eng,"Bracket g raised to the power t sub r a, a end bracket equals bracket g, a raised to the power t sub r a end bracket equals bracket g-bar, r a-bar end bracket equals bracket r g-bar, a-bar end bracket equals bracket g sub r, a."
10717,"[g^{t_{r,a}}, a]=[g, a^{t_{r,a}}] = [\bar{g}, r\bar{a}] = [r\bar{g}, \bar{a}] = [ g_r, a].",eng,"Comm g to the power t ra, a equals comm g, a to the power t ra equals comm g-bar, r a-bar equals comm r g-bar, a-bar equals comm g r, a."
10720,"u_{\epsilon}=G(u),",eng,U sub epsilon equals G of U
10721,"u_{\epsilon}=G(u),",eng,U subscript epsilon equals G parenthesis U
10724,"\delta S_I=\frac{\pi^2}{g^2}\sum_{i=i,2}\rho_i^2\bar \eta^{a\mu\nu}D^{ab}_i F^b_{\mu\nu}(x_i).",eng,"Delta S subscript I equals pi squared over g squared, summing over i from i to two, rho subscript i squared times eta bar superscript a mu nu times D superscript a b subscript i times F superscript b subscript mu nu of x subscript i."
10725,"\delta S_I=\frac{\pi^2}{g^2}\sum_{i=i,2}\rho_i^2\bar \eta^{a\mu\nu}D^{ab}_i F^b_{\mu\nu}(x_i).",eng,"Delta S I equals the fraction of pi squared and g squared, with a sum from i equals i to two of rho sub i squared times eta bar a mu nu times D sup ab sub i times F sup b sub mu nu evaluated at x sub i."
10728,"ds^2=N^2(t)dt^2-a^2(t)dl^2, ",eng,d s squared equals N squared of t d t squared minus a squared of t d l squared
10729,"ds^2=N^2(t)dt^2-a^2(t)dl^2, ",eng,d s squared is equal to the square of N of t multiplied by d t squared minus the square of a of t multiplied by d l squared
10732,"A_\mu \rightarrow UA_\mu U^{-1}-(\partial _\mu U)U^{-1}\,{,}",eng,A mu goes to U times A mu times U inverse minus open parenthesis partial mu U close parenthesis times U inverse
10733,"A_\mu \rightarrow UA_\mu U^{-1}-(\partial _\mu U)U^{-1}\,{,}",eng,A sub mu transforms to U A sub mu U inverse minus the derivative of U with respect to mu times U inverse
10736,"\bar{k}:= \frac{1}{\eta_2}\cdot\frac{1}{\epsilon^{-1}\Delta t\frac{1}{\eta_1}\ln\frac{1}{\eta_1}},",eng,K-bar equals one over eta sub two times open parenthesis epsilon to the power of negative one delta t times one over eta sub one times the natural logarithm of one over eta sub one close parenthesis.
10737,"\bar{k}:= \frac{1}{\eta_2}\cdot\frac{1}{\epsilon^{-1}\Delta t\frac{1}{\eta_1}\ln\frac{1}{\eta_1}},",eng,K-bar is defined as the product of one divided by eta two and the expression epsilon to the negative one power times delta t over eta one natural log of the reciprocal of eta one.
10740,W_{\alpha}(\theta):=\begin{cases}e^{-|\theta|^{-\alpha}}& \theta\neq 0\\ 0 &\theta=0\end{cases}.,eng,W alpha of theta is defined as the piecewise function: e to the power of negative absolute value of theta raised to the power of negative alpha if theta is not equal to zero; zero if theta is equal to zero.
10741,W_{\alpha}(\theta):=\begin{cases}e^{-|\theta|^{-\alpha}}& \theta\neq 0\\ 0 &\theta=0\end{cases}.,eng,"W sub alpha of theta is equal to the following: e raised to the negative power of the absolute value of theta to the negative alpha if theta is not zero, and zero if theta equals zero."
